country;Region indicator;Happiness score;Whisker-high;Whisker-low;Dystopia (1.92) + residual;Explained by: GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption
Angola;Sub-Saharan Africa;3,794800043;3,951441902;3,638158184;1,53053093;0,73015666;1,125020385;0,268985629;0;0,078868173;0,061276149
Madagascar;Sub-Saharan Africa;3,773600101;3,857244517;3,689955686;1,777685761;0,262341797;0,90765506;0,401769191;0,221069887;0,154574886;0,048532803
Zimbabwe;Sub-Saharan Africa;3,692300081;3,805600499;3,578999664;1,355912447;0,357282937;1,094314814;0,247891173;0,405982256;0,131962508;0,098939598
Afghanistan;South Asia;3,631500006;3,714525292;3,548474719;2,195918322;0,331814259;0,537191331;0,25477156;0,084551774;0,191003919;0,036267698
Botswana;Sub-Saharan Africa;3,589799881;3,704184632;3,47541513;0,291650534;1,016574621;1,173615217;0,416565388;0,556795657;0,042368673;0,092258558
Malawi;Sub-Saharan Africa;3,586800098;3,691199042;3,482401155;1,7323668;0,18607758;0,54142499;0,305785358;0,530539453;0,210318148;0,080250546
Haiti;Latin America and Caribbean;3,582000017;3,713492732;3,450507303;1,743650913;0,314747214;0,713609338;0,289200157;0,0248436;0,392342329;0,103566207
Liberia;Sub-Saharan Africa;3,495399952;3,622500437;3,368299467;1,640099406;0,075727947;0,858432472;0,266598582;0,418888569;0,20560731;0,0300216
Syria;Middle East and North Africa;3,461899996;3,663568659;3,260231332;1,244143486;0,688779056;0,381640702;0,538848817;0,088277139;0,375908673;0,144315064
Rwanda;Sub-Saharan Africa;3,40809989;3,499697795;3,316501984;0,4999578;0,332327813;0,895639598;0,400057256;0,63590759;0,199709639;0,444492012
Yemen;Middle East and North Africa;3,354899883;3,448013332;3,261786435;1,106473923;0,441527247;1,072612762;0,3432163;0,243870273;0,083091691;0,064145595
Tanzania;Sub-Saharan Africa;3,303499937;3,413902975;3,193096899;0,628085136;0,454863578;0,991134048;0,381296992;0,480924577;0,270036578;0,097195283
South Sudan;Sub-Saharan Africa;3,254199982;3,385097195;3,123302768;1,690625191;0,337370008;0,607501745;0,177460104;0,111604117;0,223926246;0,105674624
Central African Republic;Sub-Saharan Africa;3,082999945;3,226581809;2,939418081;2,487011433;0,02390543;0;0,010100055;0,305280298;0,218356088;0,038344309
Burundi;Sub-Saharan Africa;2,904500008;3,074190369;2,734809646;1,751793504;0,090806246;0,626902342;0,145325094;0,06485042;0,148904055;0,075953349
